prescribed;RegulatoryOperators
c;<div class="ex5
Consultation;EconomicOperands
notice;EconomicOperands
opportunity;EconomicOperands
hearing;EconomicOperands
Before;LogicalConnectors
making;FunctionWords
determination;EconomicOperands
subsection a or b;LegalReferences
consult;EconomicOperands
relevant;Attributes
Advance;EconomicOperands
in the case of;LogicalConnectors
advance;EconomicOperands
proposed determination;EconomicOperands
Notice;EconomicOperands
register;EconomicOperands
publishing;EconomicOperands
Register;EconomicOperands
Requests;EconomicOperands
Within;LogicalConnectors
30 days;Attributes
from;FunctionWords
date;EconomicOperands
request;EconomicOperands
writing;EconomicOperands
written;EconomicOperands
oral;EconomicOperands
before;LogicalConnectors
demonstrate;EconomicOperands
proposed;EconomicOperands
supported;EconomicOperands
substantial;Attributes
evidence;EconomicOperands
Written;EconomicOperands
submissions;EconomicOperands
receipt;EconomicOperands
timely;Attributes
fix;EconomicOperands
time;EconomicOperands
after;LogicalConnectors
unless;LogicalConnectors
extended;EconomicOperands
at;FunctionWords
place;EconomicOperands
appear;EconomicOperands
personally;EconomicOperands
counsel;EconomicOperands
submit;EconomicOperands
materials;EconomicOperands
sole;LogicalConnectors
discretion;EconomicOperands
testimony;EconomicOperands
oral argument;EconomicOperands
Emergency;EconomicOperands
exception;RegulatoryOperators
Waiver;RegulatoryOperators
modification;EconomicOperands
waive;RegulatoryOperators
modify;EconomicOperands
requirements;EconomicOperands
paragraph 2;LegalReferences
waiver;RegulatoryOperators
prevent;RegulatoryOperators
immediate;EconomicOperands
threat;EconomicOperands
posed;EconomicOperands
concerned;EconomicOperands
as soon as practicable;Attributes
no;FunctionWords
later;FunctionWords
24 hours;Attributes
business days;EconomicOperands
posting;EconomicOperands
website;EconomicOperands
d;<div class="ex5
Notification;EconomicOperands
After;LogicalConnectors
60 days;Attributes
subsection c2;LegalReferences
notify;EconomicOperands
findings;EconomicOperands
fact;EconomicOperands
based;Other
requested;RegulatoryOperators
receive;EconomicOperands
not later than;LogicalConnectors
expiration;EconomicOperands
All;FunctionWords
notices;EconomicOperands
this subsection;LegalReferences
published;EconomicOperands
e;<div class="ex5
Extension;EconomicOperands
periods;EconomicOperands
extend;EconomicOperands
established;RegulatoryOperators
subsections c and d;LegalReferences
SEC 805;<div class="ex4
Standards;EconomicOperands
Authority;EconomicOperands
prescribe;RegulatoryOperators
Except;LogicalConnectors
provided;LogicalConnectors
rule;EconomicOperands
consultation;EconomicOperands
Supervisory Agencies;EconomicOperands
taking;EconomicOperands
into;FunctionWords
consideration;EconomicOperands
international;EconomicOperands
existing;EconomicOperands
prudential;EconomicOperands
governing;EconomicOperands
operations;EconomicOperands
related;FunctionWords
Special;EconomicOperands
procedures;EconomicOperands
certain;FunctionWords
CFTC;EconomicOperands
Commission;EconomicOperands
each;FunctionWords
regulations;EconomicOperands
containing;EconomicOperands
Review;EconomicOperands
both;FunctionWords
pursuant to;FunctionWords
insufficient;Attributes
operational;EconomicOperands
subparagraph B;LegalReferences
applicable;FunctionWords
explain;EconomicOperands
why;LogicalConnectors
considered;EconomicOperands
whole;LogicalConnectors
ensure;RegulatoryOperators
pose;EconomicOperands
contain;EconomicOperands
detailed;EconomicOperands
analysis;EconomicOperands
supporting;EconomicOperands
identify;EconomicOperands
specific;FunctionWords
commission;EconomicOperands
response;EconomicOperands
within;LogicalConnectors
either;LogicalConnectors
object;EconomicOperands
as to;FunctionWords
sufficient;Attributes
explanation;EconomicOperands
describing;EconomicOperands
actions;EconomicOperands
taken;Other
Authorization;RegulatoryOperators
submitted;EconomicOperands
subparagraph D;LegalReferences
address;EconomicOperands
determined;RegulatoryOperators
Objectives;EconomicOperands
principles;EconomicOperands
objectives;EconomicOperands
subsection a;LegalReferences
Scope;EconomicOperands
areas;EconomicOperands
such as;LogicalConnectors
policies;EconomicOperands
margin;EconomicOperands
collateral requirements;EconomicOperands
counterparty;EconomicOperands
default;EconomicOperands
ability;EconomicOperands
complete;EconomicOperands
capital;EconomicOperands
resource;EconomicOperands
achieve;EconomicOperands
subsection b;LegalReferences
Limitation;EconomicOperands
scope;EconomicOperands
subsections e and f;LegalReferences
section 807;LegalReferences
nothing;FunctionWords
construed;Other
permit;RegulatoryOperators
take;FunctionWords
action;EconomicOperands
exercise;EconomicOperands
authority;EconomicOperands
granted;LogicalConnectors
section 2h;LegalReferences
the Securities Exchange Act of 1934;LegalReferences
approval;RegulatoryOperators
disapproval;RegulatoryOperators
stay;EconomicOperands
clearing requirement;EconomicOperands
group;EconomicOperands
category;EconomicOperands
type;EconomicOperands
class;EconomicOperands
accept;EconomicOperands
mandatory;EconomicOperands
section 2h1;LegalReferences
exempt;RegulatoryOperators
Threshold;EconomicOperands
level;EconomicOperands
establish;RegulatoryOperators
threshold;EconomicOperands
significance;EconomicOperands
engagement;EconomicOperands
f;<div class="ex5
Compliance;EconomicOperands
required;RegulatoryOperators
Designated;RegulatoryOperators
compliance;EconomicOperands
SEC 806;<div class="ex4
Operations;EconomicOperands
Federal reserve;EconomicOperands
account;EconomicOperands
authorize;RegulatoryOperators
Federal Reserve;EconomicOperands
Bank;EconomicOperands
maintain;EconomicOperands
deposit;EconomicOperands
accounts;EconomicOperands
first;LogicalConnectors
undesignated;Other
paragraph;Other
section 13;LegalReferences
the Federal Reserve Act 12 USC 342;LegalReferences
authorized;RegulatoryOperators
guidelines;EconomicOperands
Advances;EconomicOperands
bank;EconomicOperands
discount;EconomicOperands
borrowing;EconomicOperands
privileges;EconomicOperands
unusual;Attributes
exigent;Attributes
circumstances;EconomicOperands
a majority of;FunctionWords
number;EconomicOperands
in accordance with;LogicalConnectors
section 11r2;LegalReferences
the Federal Reserve Act 12 USC 248r2;LegalReferences
Secretary;EconomicOperands
showing;EconomicOperands
it;FunctionWords
unable;EconomicOperands
secure;EconomicOperands
adequate;Attributes
accommodations;EconomicOperands
institutions;EconomicOperands
discounts;EconomicOperands
limitations;RegulatoryOperators
restrictions;RegulatoryOperators
and regulations;EconomicOperands
Access;EconomicOperands
this section;LegalReferences
bank holding company;EconomicOperands
Earnings;EconomicOperands
balances;EconomicOperands
pay;EconomicOperands
earnings;EconomicOperands
balances maintained;EconomicOperands
same;LogicalConnectors
extent;EconomicOperands
Reserve requirements;EconomicOperands
reserve requirements;EconomicOperands
section 19;LegalReferences
the Federal Reserve Act 12 USC 461;LegalReferences
applicable to;LogicalConnectors
Changes;EconomicOperands
changes;EconomicOperands
change;EconomicOperands
rules of;EconomicOperands
materially;EconomicOperands
affect;EconomicOperands
presented;EconomicOperands
Terms;Other
Each;FunctionWords
define;EconomicOperands
describe;Other
when;FunctionWords
Contents;Other
expected;EconomicOperands
effects;EconomicOperands
how;FunctionWords
plans;EconomicOperands
manage;EconomicOperands
identified;FunctionWords
Additional;EconomicOperands
assess;EconomicOperands
designated financial market utilitys;EconomicOperands
sufficiency;EconomicOperands
techniques;EconomicOperands
objection;EconomicOperands
regarding;LogicalConnectors
received;EconomicOperands
further;LogicalConnectors
F;<div class="ex7
Change;EconomicOperands
allowed;RegulatoryOperators
implement;EconomicOperands
G;<div class="ex7
receives;EconomicOperands
requests;EconomicOperands
H;<div class="ex7
extension;EconomicOperands
novel;EconomicOperands
complex;EconomicOperands
issues;EconomicOperands
during;FunctionWords
60-day;Attributes
review;EconomicOperands
period;EconomicOperands
additional;EconomicOperands
raise novel;EconomicOperands
prompt;Attributes
subparagraphs E and G;LegalReferences
I;<div class="ex9
earlier;Attributes
notified;EconomicOperands
less than;LogicalConnectors
notifies;EconomicOperands
authorizes;RegulatoryOperators
conditions;EconomicOperands
imposed;EconomicOperands
emergency;EconomicOperands
exists;EconomicOperands
implementation;EconomicOperands
continue;EconomicOperands
In addition to;LogicalConnectors
requiring;RegulatoryOperators
reason;EconomicOperands
was;LogicalConnectors
Modification;EconomicOperands
consistent;Attributes
section 805a;LegalReferences
Copying;EconomicOperands
concurrently;EconomicOperands
copy;EconomicOperands
submits;EconomicOperands
completing;EconomicOperands
SEC 807;<div class="ex4
Examination;EconomicOperands
enforcement;EconomicOperands
against;FunctionWords
Notwithstanding;LogicalConnectors
law;EconomicOperands
subsection d;LegalReferences
examinations;EconomicOperands
at least;LogicalConnectors
once;FunctionWords
annually;Attributes
in order to;LogicalConnectors
borne;FunctionWords
operational risks;EconomicOperands
resources;EconomicOperands
capabilities;EconomicOperands
monitor;EconomicOperands
control;EconomicOperands
Service providers;EconomicOperands
Whenever;FunctionWords
service;EconomicOperands
integral;EconomicOperands
operation;EconomicOperands
another;FunctionWords
affiliate;EconomicOperands
off;FunctionWords
premises;EconomicOperands
examine;EconomicOperands
were;LogicalConnectors
performing;EconomicOperands
own;FunctionWords
Enforcement;EconomicOperands
enforcing;RegulatoryOperators
subsections b through n;LegalReferences
section 8;LegalReferences
the Federal Deposit Insurance Act 12 USC 1818;LegalReferences
insured depository institution;EconomicOperands
involvement;EconomicOperands
examination;EconomicOperands
planning;EconomicOperands
methodology;EconomicOperands
subsections a and b;LegalReferences
lead;EconomicOperands
all;FunctionWords
participation;EconomicOperands
participate;EconomicOperands
led;EconomicOperands
recommendations;RegulatoryOperators
Recommendation;EconomicOperands
consulting;EconomicOperands
recommend;EconomicOperands
recommendation;EconomicOperands
Consideration;EconomicOperands
consider;EconomicOperands
Binding;EconomicOperands
arbitration;EconomicOperands
rejects;EconomicOperands
binding;EconomicOperands
decision;EconomicOperands
warranted;EconomicOperands
in favor of the;FunctionWords
paragraph 3;LegalReferences
referenced;Other
subsection c;LegalReferences
Imminent;Attributes
harm;EconomicOperands
majority;EconomicOperands
reasonable;Attributes
cause;EconomicOperands
to conclude;LogicalConnectors
contemplated;EconomicOperands
section 806e;LegalReferences
poses;EconomicOperands
imminent;Attributes
condition;EconomicOperands
precludes;EconomicOperands
subsection e;LegalReferences
paragraph 1;LegalReferences
SEC 808;<div class="ex4
other financial institutions;EconomicOperands
available;EconomicOperands
paragraphs 2 and 3;LegalReferences
Technical;EconomicOperands
assistance;EconomicOperands
technical;EconomicOperands
appropriate financial regulators;EconomicOperands
interpreted;EconomicOperands
applied;EconomicOperands
practicable;EconomicOperands
Delegation;EconomicOperands
Request;EconomicOperands
written request;EconomicOperands
mutually agree;EconomicOperands
enforce;RegulatoryOperators
if so;LogicalConnectors
Back-up;EconomicOperands
Limitations;RegulatoryOperators
paragraph 1A;LegalReferences
only if;LogicalConnectors
believe;EconomicOperands
belief;EconomicOperands
clause i;LegalReferences
documentation;EconomicOperands
included;EconomicOperands
been;FunctionWords
afforded;EconomicOperands
Boards;EconomicOperands
notification;EconomicOperands
clause ii;LegalReferences
II;<div class="ex9
noncompliance;EconomicOperands
affording;EconomicOperands
obtained;EconomicOperands
paragraph 1B;LegalReferences
commencement;EconomicOperands
recommended;EconomicOperands
notifying;EconomicOperands
SEC 809;<div class="ex4
Requests for information;EconomicOperands
reports;EconomicOperands
records;EconomicOperands
Information;EconomicOperands
To;FunctionWords
assessing;EconomicOperands
set forth;RegulatoryOperators
Financial institutions;EconomicOperands
Reporting;EconomicOperands
frequency;EconomicOperands
form;EconomicOperands
deemed;RegulatoryOperators
utilitys;EconomicOperands
appropriately;Attributes
impose;RegulatoryOperators
recordkeeping;EconomicOperands
requirement;EconomicOperands
section 805a2;LegalReferences
Coordination;EconomicOperands
supervisory agency;EconomicOperands
coordination;EconomicOperands
requesting;EconomicOperands
material;EconomicOperands
imposing;EconomicOperands
coordinate;EconomicOperands
format;EconomicOperands
detail;EconomicOperands
Supervisory;EconomicOperands
disclose;EconomicOperands
each other;FunctionWords
copies;EconomicOperands
Timing;EconomicOperands
report;EconomicOperands
subsection c1;LegalReferences
full;EconomicOperands
15 days;Attributes
reporting requirements;EconomicOperands
directly;Attributes
persons;EconomicOperands
Sharing;EconomicOperands
Material;EconomicOperands
concerns;EconomicOperands
promptly;Attributes
about;FunctionWords
share;EconomicOperands
relating to;LogicalConnectors
Other;FunctionWords
confidential;EconomicOperands
supervisory;EconomicOperands
Reserve Banks;EconomicOperands
State;EconomicOperands
supervisory agencies;EconomicOperands
foreign;EconomicOperands
supervisors;EconomicOperands
central banks;EconomicOperands
finance;EconomicOperands
ministries;EconomicOperands
assurances;EconomicOperands
confidentiality;EconomicOperands
however;LogicalConnectors
receiving;EconomicOperands
disseminate;EconomicOperands
other than;FunctionWords
this paragraph;LegalReferences
without;FunctionWords
complying with;RegulatoryOperators
the Commodity Exchange Act 7 USC 12;LegalReferences
Privilege;EconomicOperands
maintained;EconomicOperands
waived;EconomicOperands
privilege;EconomicOperands
portion;EconomicOperands
thereof;FunctionWords
party;EconomicOperands
permitting;RegulatoryOperators
used;EconomicOperands
g;<div class="ex5
Disclosure;EconomicOperands
exemption;RegulatoryOperators
prepared;EconomicOperands
assessment;EconomicOperands
disclosure;EconomicOperands
section 552;LegalReferences
title 5;LegalReferences
United States Code;LegalReferences
statute;Other
subsection b3;LegalReferences
SEC 810;<div class="ex4
Rulemaking;Other
issue;EconomicOperands
administer;EconomicOperands
carry out;EconomicOperands
respective;EconomicOperands
authorities;EconomicOperands
duties;EconomicOperands
evasions;EconomicOperands
SEC 811;<div class="ex4
Unless;LogicalConnectors
divest;EconomicOperands
derived;EconomicOperands
except;LogicalConnectors
section 805;LegalReferences
supersede;Other
less;FunctionWords
stringent;Attributes
to the extent;LogicalConnectors
conflict;EconomicOperands
SEC 812;<div class="ex4
prior;EconomicOperands
exercising;EconomicOperands
sections;Other
amended;Other
amendment;Other
certification;EconomicOperands
issued;EconomicOperands
section 745b3;LegalReferences
rulemaking;Other
section 728;LegalReferences
SEC;<div class="ex4
section 19b2;LegalReferences
section 13n;LegalReferences
added;Other
section 763i;LegalReferences
SEC 813;<div class="ex4
Common;FunctionWords
framework;EconomicOperands
jointly;FunctionWords
develop;EconomicOperands
programs;EconomicOperands
Not later than;LogicalConnectors
year;EconomicOperands
enactment;Other
joint;EconomicOperands
Committee on Banking Housing and Urban Affairs;EconomicOperands
Committee on Agriculture Nutrition and Forestry;EconomicOperands
Senate;EconomicOperands
Committee on Financial Services;EconomicOperands
Committee on Agriculture;EconomicOperands
House of Representatives;EconomicOperands
improving consistency;EconomicOperands
oversight;EconomicOperands
promoting;EconomicOperands
regulators;EconomicOperands
improving;EconomicOperands
potential;EconomicOperands
SEC 814;<div class="ex4
Effective date;EconomicOperands
effective;RegulatoryOperators
as of;FunctionWords
TITLE 0;<div class="ex1
table of contents;FunctionWords
This Act;LegalReferences
Dodd-Frank Wall Street Reform and Consumer Protection Act;LegalReferences
Table of Contents;FunctionWords
As;LogicalConnectors
context;Other
requires;RegulatoryOperators
specifically;LogicalConnectors
Affiliate;EconomicOperands
meaning;Other
Appropriate Federal banking agency;EconomicOperands
On;FunctionWords
transfer date;EconomicOperands
12 USC 1813q;LegalReferences
title III;LegalReferences
Board of governors;EconomicOperands
System;EconomicOperands
Bureau;EconomicOperands
Bureau of Consumer Financial Protection;EconomicOperands
title X;LegalReferences
in the context of;FunctionWords
Commodity;EconomicOperands
swap dealer;EconomicOperands
swap execution facility;EconomicOperands
board of trade;EconomicOperands
commodity pool;EconomicOperands
meanings;Other
given;FunctionWords
Corporation;EconomicOperands
Federal Deposit Insurance Corporation;EconomicOperands
title I;LegalReferences
Credit union;EconomicOperands
Federal credit union;EconomicOperands
State-chartered;EconomicOperands
10;<div class="ex6
Federal banking agency;EconomicOperands
individually;EconomicOperands
Office of the Comptroller of the Currency;EconomicOperands
Federal banking agencies;EconomicOperands
referred to;FunctionWords
collectively;EconomicOperands
11;<div class="ex6
Functionally regulated subsidiary;EconomicOperands
functionally regulated subsidiary;EconomicOperands
section 5c5;LegalReferences
the Bank Holding Company Act of 1956 12 USC 1844c5;LegalReferences
12;<div class="ex6
Primary financial regulatory agency;EconomicOperands
Act;LegalReferences
investment;EconomicOperands
advisory;EconomicOperands
nationally recognized statistical rating organization;EconomicOperands
association;EconomicOperands
Municipal Securities Rulemaking Board;EconomicOperands
Public;EconomicOperands
Company;EconomicOperands
Accounting;EconomicOperands
Oversight;EconomicOperands
Board;EconomicOperands
the Sarbanes-Oxley Act of 2002 15 USC 7211 et seq;LegalReferences
Securities;EconomicOperands
Investor Protection;EconomicOperands
the Securities Investor Protection Act of 1970 15 USC 78aaa et seq;LegalReferences
xiii;<div class="ex8
security-based swap execution facility;EconomicOperands
security-based swap data repository;EconomicOperands
security-based swap dealer;EconomicOperands
major security-based swap participant;EconomicOperands
in that;LogicalConnectors
commodity trading adviser;EconomicOperands
retail;EconomicOperands
swap data repository;EconomicOperands
major swap participant;EconomicOperands
insurance;EconomicOperands
