key;category;total_count
30 LEGISLATIVE DAYS;Attributes;1
30 MONTHS;Attributes;6
30 PERCENT;Attributes;2
3000000;Attributes;1
30000000;Attributes;1
300000000;Attributes;2
30-DAY;Attributes;14
30-MONTH;Attributes;4
30-YEAR;Attributes;1
31;Attributes;12
327 PERCENT;Attributes;1
330-DAY;Attributes;4
35;Attributes;18
35000000;Attributes;1
36 MONTHS;Attributes;2
360 DAYS;Attributes;5
365 DAYS;Attributes;1
365-DAY;Attributes;1
375000;Attributes;1
3RD;Attributes;3
3-YEAR;Attributes;8
4;Attributes;425
40 PERCENT;Attributes;1
42 PERCENT;Attributes;1
44 PERCENT;Attributes;1
443;Attributes;2
45 DAYS;Attributes;5
45000000;Attributes;1
475000000000;Attributes;1
4TH;Attributes;2
4-YEAR;Attributes;1
5;Attributes;317
5 PERCENT;Attributes;4
5 YEARS;Attributes;33
50;Attributes;6
50 PERCENT;Attributes;6
500;Attributes;4
5000;Attributes;8
500000;Attributes;3
50000000;Attributes;4
5000000000;Attributes;1
50000000000;Attributes;19
501 PERCENT;Attributes;1
5300000000000;Attributes;1
56 PERCENT;Attributes;1
5-YEAR;Attributes;5
6;Attributes;243
6 MONTHS;Attributes;27
6 YEARS;Attributes;5
60 DAYS;Attributes;36
60 PERCENT;Attributes;1
60-DAY;Attributes;12
62;Attributes;3
65 PERCENTAGE POINTS;Attributes;1
6-MONTH;Attributes;13
6TH;Attributes;3
7;Attributes;274
7 YEARS;Attributes;1
700000000000;Attributes;1
725000;Attributes;1
75 PERCENT;Attributes;2
7500;Attributes;1
75000;Attributes;2
75000000;Attributes;2
788 PERCENT;Attributes;1
799 PERCENT;Attributes;1
8;Attributes;160
8 MONTHS;Attributes;1
8000000;Attributes;1
85 PERCENT;Attributes;3
85 PERCENTAGE POINTS;Attributes;2
9;Attributes;211
9 MONTHS;Attributes;7
90 CALENDAR DAYS;Attributes;1
90 DAYS;Attributes;48
90 PERCENT;Attributes;5
90-DAY;Attributes;21
9-MONTH;Attributes;2
ACCEPTABLE;Attributes;15
ACCURATELY;Attributes;2
ADEQUATE;Attributes;41
ADEQUATELY;Attributes;9
ADVISABLE;Attributes;6
ALREADY;Attributes;10
ANNUALLY;Attributes;38
APPROPRIATE;Attributes;569
APPROPRIATELY;Attributes;11
APRIL 1;Attributes;1
APRIL 20 1991;Attributes;1
APRIL 30;Attributes;2
APRIL 30 BIENNIALLY;Attributes;1
APRIL 5;Attributes;1
AS SOON AS PRACTICABLE;Attributes;6
AT PAR;Attributes;1
AUGUST 3 1994;Attributes;1
AUGUST 31 2011;Attributes;1
BETTER;Attributes;10
BI-ANNUAL;Attributes;1
CONSISTENT;Attributes;125
CONSISTENTLY;Attributes;7
CREDIBLE;Attributes;7
DAILY;Attributes;14
DAYS;Attributes;10
DECEMBER 1 2007;Attributes;2
DECEMBER 1 2009;Attributes;2
DECEMBER 1 2010;Attributes;1
DECEMBER 2008;Attributes;2
DECEMBER 23 2008;Attributes;1
DECEMBER 31;Attributes;9
DECEMBER 31 2009;Attributes;1
DECEMBER 6 1997;Attributes;1
DECEMBER 8 1997;Attributes;1
DIRECTLY;Attributes;125
DISPROPORTIONATELY;Attributes;3
DUE;Attributes;28
DULY;Attributes;9
EARLIER;Attributes;11
EASILY;Attributes;3
EASY;Attributes;1
EIGHTH;Attributes;1
ENFORCEABLE;Attributes;36
EQUITABLE;Attributes;25
EXCEPTIONAL;Attributes;1
EXIGENT;Attributes;1
FEASIBLE;Attributes;3
FIFTH;Attributes;2
FIFTH JANUARY;Attributes;2
FIRST;Attributes;91
FIVE-MONTH;Attributes;1
FOUR;Attributes;1
FOURTH;Attributes;5
FOURTH DAY;Attributes;1
GRAVE;Attributes;2
HIGHLY;Attributes;5
IDENTICAL;Attributes;4
ILL-SUITED;Attributes;1
IMMEDIATELY;Attributes;37
IMMINENT;Attributes;6
IMPROPER;Attributes;5
IN THE FUTURE;Attributes;6
INADEQUATE;Attributes;3
INAPPROPRIATELY;Attributes;2
INDIRECTLY;Attributes;65
INSUFFICIENT;Attributes;11
INVALID;Attributes;2
JANUARY 1;Attributes;3
JANUARY 1 2008;Attributes;1
JANUARY 1 2010;Attributes;6
JANUARY 1 2011;Attributes;1
JANUARY 1 2012;Attributes;1
JANUARY 1 2013;Attributes;4
JANUARY 1 2014;Attributes;1
JANUARY 1 2015;Attributes;1
JANUARY 14 2008;Attributes;1
JANUARY 31 2011;Attributes;1
JUNE 1 2010;Attributes;1
JUNE 15;Attributes;1
JUNE 16 2013;Attributes;1
JUNE 25 2010;Attributes;1
JUNE 30;Attributes;2
JUNE 8 2002;Attributes;1
LEGITIMATE;Attributes;2
LIKELY;Attributes;28
MARCH 1;Attributes;2
MARCH 2010;Attributes;1
MARCH 31;Attributes;1
MARCH 31 2010;Attributes;2
MAY 1 2010;Attributes;2
MAY 19 2010;Attributes;10
MILLION;Attributes;3
MONTHLY;Attributes;24
MULTI-YEAR;Attributes;2
NECESSARY;Attributes;308
NEGATIVELY;Attributes;2
NO LONGER;Attributes;8
NOVEMBER 23 2009;Attributes;1
OCTOBER 1 2010;Attributes;3
OCTOBER 1 2011;Attributes;3
OCTOBER 2 1999;Attributes;1
OCTOBER 3 2008;Attributes;1
OCTOBER 30;Attributes;2
OCTOBER 4 2010;Attributes;1
ODD;Attributes;1
ONE YEAR;Attributes;3
OPTIMAL;Attributes;1
PER ANNUM;Attributes;2
PERCENT;Attributes;23
PERIODIC;Attributes;25
PERIODICALLY;Attributes;17
PERMANENTLY;Attributes;2
PERMISSIBLE;Attributes;16
POSSIBLE;Attributes;36
PREDOMINATELY;Attributes;1
PRESENTLY;Attributes;3
PRIMARILY;Attributes;15
PROMPT;Attributes;11
PROMPTLY;Attributes;24
PROPERLY;Attributes;5
PRUDENT;Attributes;4
QUARTER;Attributes;9
QUARTERLY;Attributes;6
REASONABLE;Attributes;139
REASONABLY;Attributes;55
REGULARLY;Attributes;10
RELEVANT;Attributes;63
ROBUST;Attributes;9
SEMIANNUAL;Attributes;12
SEMI-ANNUAL;Attributes;3
SEPTEMBER 22 1988;Attributes;1
SEPTEMBER 30;Attributes;4
SEPTEMBER 30 1996;Attributes;1
SEPTEMBER 30 2011;Attributes;2
SEPTEMBER 30 2012;Attributes;1
SEPTEMBER 30 2020;Attributes;1
SEPTEMBER 7 2008;Attributes;1
SERIOUS;Attributes;13
SHORT-DATED;Attributes;1
SHORTER;Attributes;8
SIGNIFICANT;Attributes;80
SIGNIFICANTLY;Attributes;12
SIX-MONTH;Attributes;1
SIXTH;Attributes;4
STRICTLY;Attributes;2
STRINGENT;Attributes;11
SUBSTANTIAL;Attributes;37
SUFFICIENT;Attributes;33
SUFFICIENTLY;Attributes;11
TEMPORARILY;Attributes;3
TEN;Attributes;4
THIRD;Attributes;43
THOROUGH;Attributes;2
TIMELY;Attributes;56
TO THE EXTENT FEASIBLE;Attributes;4
TO THE FULLEST EXTENT POSSIBLE;Attributes;16
TO THE MAXIMUM EXTENT;Attributes;9
TRIENNIAL;Attributes;2
TWICE;Attributes;8
TWO-THIRDS;Attributes;1
TWO-YEAR;Attributes;1
UNACCEPTABLE;Attributes;11
UNCONSTITUTIONAL;Attributes;1
UNDUE;Attributes;5
UNDULY;Attributes;3
UNFAIRLY;Attributes;4
UNNECESSARY;Attributes;4
UNUSUAL;Attributes;7
UNWARRANTED;Attributes;1
WEEKLY;Attributes;1
WELL;Attributes;10
WELLS;Attributes;1
WHERE FEASIBLE;Attributes;5
TWO;Attributes;3
ABANDONED;EconomicOperands;2
ABATE;EconomicOperands;8
ABET;EconomicOperands;1
ABETS;EconomicOperands;1
ABETTED;EconomicOperands;1
ABETTING;EconomicOperands;4
ABIDE;EconomicOperands;5
ABILITY;EconomicOperands;87
ABL;EconomicOperands;1
ABLE;EconomicOperands;17
ABROAD;EconomicOperands;3
ABS;EconomicOperands;1
ABSENCE;EconomicOperands;10
ABSORB;EconomicOperands;1
ABSORBED;EconomicOperands;1
ABUSE;EconomicOperands;12
ABUSES;EconomicOperands;2
ABUSIVE;EconomicOperands;27
ACADEMIC;EconomicOperands;3
ACADEMICS;EconomicOperands;4
ACCELERATE;EconomicOperands;2
ACCELERATED;EconomicOperands;3
ACCELERATION;EconomicOperands;6
ACCEPT;EconomicOperands;32
ACCEPTANCE;EconomicOperands;16
ACCEPTANCES;EconomicOperands;5
ACCEPTED;EconomicOperands;15
ACCEPTING;EconomicOperands;6
ACCEPTING BIDS;EconomicOperands;2
ACCEPTS;EconomicOperands;7
ACCESS;EconomicOperands;102
ACCESSIBILITY;EconomicOperands;1
ACCESSIBLE;EconomicOperands;3
ACCIDENT;EconomicOperands;2
ACCOMMODATE;EconomicOperands;1
ACCOMMODATION TITLEHOLDER;EconomicOperands;1
ACCOMMODATIONS;EconomicOperands;1
ACCOMPANIED;EconomicOperands;6
ACCOMPANY;EconomicOperands;7
ACCOMPANYING;EconomicOperands;2
ACCOMPLISH;EconomicOperands;5
ACCOMPLISHED;EconomicOperands;2
ACCOMPLISHING;EconomicOperands;1
ACCOUNT;EconomicOperands;197
ACCOUNTABILITY;EconomicOperands;39
ACCOUNTANT;EconomicOperands;7
ACCOUNTANTS;EconomicOperands;5
ACCOUNTED;EconomicOperands;2
ACCOUNTING;EconomicOperands;88
ACCOUNTING STANDARDS;EconomicOperands;6
ACCOUNTS;EconomicOperands;58
ACCREDITATION;EconomicOperands;4
ACCREDITED;EconomicOperands;3
ACCREDITED COLLEGE;EconomicOperands;2
ACCREDITED INVESTOR;EconomicOperands;9
ACCRUALS;EconomicOperands;5
ACCRUE;EconomicOperands;4
ACCRUED;EconomicOperands;8
ACCRUES;EconomicOperands;7
ACCRUING;EconomicOperands;9
ACCUMULATED;EconomicOperands;1
ACCURACY;EconomicOperands;14
ACCURATE;EconomicOperands;28
ACCURATE CONFIRMATION PROCESSING NETTING DOCUMENTATION;EconomicOperands;2
ACCURATE TRADE RECONSTRUCTIONS;EconomicOperands;5
ACCUSED;EconomicOperands;1
ACH;EconomicOperands;7
ACHIEVE;EconomicOperands;16
ACHIEVED;EconomicOperands;3
ACHIEVES;EconomicOperands;2
ACHIEVING;EconomicOperands;1
ACKNOWLEDGMENT;EconomicOperands;1
ACQUIESCE;EconomicOperands;2
ACQUIESCES;EconomicOperands;1
ACQUIRE;EconomicOperands;23
ACQUIRED;EconomicOperands;17
ACQUIRES;EconomicOperands;4
ACQUIRING;EconomicOperands;7
ACQUISITION;EconomicOperands;35
ACQUISITIONS;EconomicOperands;9
ACT TRANSACTIONS;EconomicOperands;1
ACTED;EconomicOperands;3
ACTING;EconomicOperands;62
ACTION;EconomicOperands;382
ACTIONS;EconomicOperands;131
ACTIVE;EconomicOperands;4
ACTIVELY SEEK;EconomicOperands;1
ACTIVELY TRADED;EconomicOperands;1
ACTIVITIES;EconomicOperands;307
ACTIVITIES CONDUCTED;EconomicOperands;7
ACTIVITY;EconomicOperands;100
ACTORS;EconomicOperands;2
ACTUAL;EconomicOperands;22
ACTUAL DAMAGES;EconomicOperands;2
ACTUAL DIRECT COMPENSATORY DAMAGES;EconomicOperands;4
ADAPT;EconomicOperands;2
ADDRESS;EconomicOperands;46
ADDRESSED;EconomicOperands;7
ADDRESSES;EconomicOperands;6
ADDRESSING;EconomicOperands;2
ADEQUACY;EconomicOperands;15
ADHERE TO;EconomicOperands;1
ADHERENCE;EconomicOperands;3
ADJOINING;EconomicOperands;7
ADJOINING COUNTRY;EconomicOperands;11
ADJOURNED;EconomicOperands;1
ADJUDICATED;EconomicOperands;1
ADJUDICATION;EconomicOperands;6
ADJUST;EconomicOperands;14
ADJUSTABLE;EconomicOperands;2
ADJUSTABLE RATE;EconomicOperands;5
ADJUSTABLE RATE MORTGAGE;EconomicOperands;1
ADJUSTABLE RATE MORTGAGES;EconomicOperands;2
ADJUSTED;EconomicOperands;29
ADJUSTING;EconomicOperands;16
ADJUSTMENT;EconomicOperands;29
ADJUSTMENTS;EconomicOperands;26
ADJUSTS;EconomicOperands;2
ADMINISTER;EconomicOperands;23
ADMINISTERED;EconomicOperands;16
ADMINISTERING;EconomicOperands;14
ADMINISTRATION;EconomicOperands;36
ADMINISTRATIVE;EconomicOperands;81
ADMINISTRATIVE EXPENSES OF THE RECEIVER;EconomicOperands;5
ADMINISTRATIVE LAW JUDGE;EconomicOperands;4
ADMINISTRATIVE RULING;EconomicOperands;1
ADMINISTRATOR;EconomicOperands;7
ADMINISTRATORS;EconomicOperands;2
ADMISSION;EconomicOperands;1
ADMITTED;EconomicOperands;8
ADMITTED INSURER;EconomicOperands;3
ADOPT;EconomicOperands;79
ADOPT NATIONWIDE UNIFORM;EconomicOperands;1
ADOPTED NATIONWIDE UNIFORM;EconomicOperands;1
ADOPTING;EconomicOperands;12
ADOPTION;EconomicOperands;8
ADOPTS;EconomicOperands;4
ADVANCE;EconomicOperands;34
ADVANCED;EconomicOperands;1
ADVANCED TRAINING;EconomicOperands;1
ADVANCES;EconomicOperands;9
ADVANTAGE;EconomicOperands;1
ADVANTAGES;EconomicOperands;2
ADVANTAGES AND DISADVANTAGES;EconomicOperands;1
ADVERSE;EconomicOperands;12
ADVERSE CIRCUMSTANCES;EconomicOperands;1
ADVERSE EFFECT;EconomicOperands;1
ADVERSE EFFECTS;EconomicOperands;11
ADVERSELY;EconomicOperands;5
ADVERSELY IMPACTED;EconomicOperands;1
ADVERTISE;EconomicOperands;1
ADVERTISEMENT;EconomicOperands;1
ADVERTISEMENTS;EconomicOperands;4
ADVERTISES;EconomicOperands;1
ADVERTISING;EconomicOperands;7
ADVICE;EconomicOperands;76
ADVISABILITY;EconomicOperands;6
ADVISE;EconomicOperands;11
ADVISED;EconomicOperands;10
ADVISER;EconomicOperands;19
ADVISERS;EconomicOperands;20
ADVISES;EconomicOperands;4
ADVISING;EconomicOperands;5
ADVISING SPECIAL;EconomicOperands;2
ADVISOR;EconomicOperands;13
ADVISORS;EconomicOperands;9
ADVISORY;EconomicOperands;48
ADVOCACY;EconomicOperands;2
ADVOCATE;EconomicOperands;29
ADVOCATES;EconomicOperands;3
ADVOCATING;EconomicOperands;1
AFFAIRS;EconomicOperands;25
AFFECT;EconomicOperands;80
AFFECTED;EconomicOperands;20
AFFECTED EMPLOYEE;EconomicOperands;6
AFFECTING;EconomicOperands;28
AFFECTING PRUDENTIAL;EconomicOperands;1
AFFECTS;EconomicOperands;12
AFFILIATE;EconomicOperands;132
AFFILIATE TRANSACTIONS;EconomicOperands;3
AFFILIATED;EconomicOperands;17
AFFILIATED GROUP;EconomicOperands;6
AFFILIATES;EconomicOperands;44
AFFILIATION;EconomicOperands;1
AFFILIATIONS;EconomicOperands;4
AFFIRM;EconomicOperands;8
AFFIRMANCE;EconomicOperands;12
AFFIRMATION;EconomicOperands;1
AFFIRMATIONS;EconomicOperands;2
AFFIRMATIVE;EconomicOperands;6
AFFIRMATIVE VOTE;EconomicOperands;21
AFFIRMING;EconomicOperands;2
AFFORD;EconomicOperands;6
AFFORDABILITY;EconomicOperands;3
AFFORDABLE;EconomicOperands;18
AFFORDED;EconomicOperands;4
AFFORDING;EconomicOperands;4
AFFORDS;EconomicOperands;7
AGE;EconomicOperands;12
AGENCIES;EconomicOperands;201
AGENCY;EconomicOperands;453
AGENCY ADMINISTRATOR;EconomicOperands;10
AGENCY SECURITIES;EconomicOperands;1
AGENCYS;EconomicOperands;8
AGENDA;EconomicOperands;1
AGENT;EconomicOperands;67
AGENTS;EconomicOperands;17
AGGREGATE;EconomicOperands;53
AGGREGATED;EconomicOperands;5
AGGRIEVED;EconomicOperands;1
AGING;EconomicOperands;4
AGREE;EconomicOperands;13
AGREED;EconomicOperands;11
AGREEING;EconomicOperands;3
AGREEMENT;EconomicOperands;263
AGREEMENT TO REPURCHASE;EconomicOperands;2
AGREEMENTS;EconomicOperands;70
AGREES;EconomicOperands;9
AGRICULTURAL;EconomicOperands;8
AGRICULTURAL PRODUCER;EconomicOperands;2
AGRICULTURE;EconomicOperands;2
AID;EconomicOperands;8
AIDED;EconomicOperands;1
AIDING;EconomicOperands;4
AIDS;EconomicOperands;3
AIG;EconomicOperands;1
AIMED AT;EconomicOperands;1
AIR CARRIER;EconomicOperands;4
ALERT;EconomicOperands;1
ALGORITHM;EconomicOperands;6
ALLEGATION;EconomicOperands;2
ALLEGATIONS;EconomicOperands;7
ALLEGED;EconomicOperands;27
ALLEGEDLY;EconomicOperands;2
ALLEGES;EconomicOperands;2
ALLEGES DISCHARGE;EconomicOperands;2
ALLEGING;EconomicOperands;6
ALLEGING DISCHARGE;EconomicOperands;1
ALLOCABLE;EconomicOperands;1
ALLOCATE;EconomicOperands;5
ALLOCATED;EconomicOperands;7
ALLOCATING;EconomicOperands;4
ALLOCATION;EconomicOperands;21
ALLOCATION OF CREDIT;EconomicOperands;3
ALLOCATIONS;EconomicOperands;1
ALLOWANCE;EconomicOperands;12
ALT-A LOANS;EconomicOperands;2
ALTER;EconomicOperands;3
ALTERATION;EconomicOperands;1
ALTERED;EconomicOperands;1
ALTERING;EconomicOperands;16
ALTERNATING;EconomicOperands;2
ALTERNATIVE;EconomicOperands;20
ALTERNATIVE APPROACHES;EconomicOperands;2
ALTERNATIVE NATIONWIDE;EconomicOperands;1
ALTERNATIVES;EconomicOperands;6
AMEND;EconomicOperands;16
AMERICAN;EconomicOperands;3
AMERICAN INSTITUTE FOR CPCU;EconomicOperands;2
AMERICAN SAMOA;EconomicOperands;4
AMERICANS;EconomicOperands;1
AMORTIZATION;EconomicOperands;9
AMORTIZE;EconomicOperands;3
AMORTIZES;EconomicOperands;4
AMORTIZING;EconomicOperands;4
AMOUNT;EconomicOperands;345
AMOUNTS;EconomicOperands;127
ANALYSES;EconomicOperands;8
ANALYSIS;EconomicOperands;60
ANALYST;EconomicOperands;3
ANALYSTS;EconomicOperands;5
ANALYTIC;EconomicOperands;2
ANALYTICAL;EconomicOperands;3
ANALYZE;EconomicOperands;8
ANALYZES;EconomicOperands;1
ANALYZING;EconomicOperands;5
ANCILLARY;EconomicOperands;2
DERIVATIVE MARKETS;EconomicOperands;2
FINANCIAL INNOVATION;EconomicOperands;1
ANNOUNCEMENTS;EconomicOperands;1
ANNOUNCING;EconomicOperands;1
ANNUAL;EconomicOperands;126
ANNUAL GROSS REVENUES DERIVED;EconomicOperands;2
ANNUITANT;EconomicOperands;2
ANNUITIES;EconomicOperands;5
ANNUITY;EconomicOperands;9
ANONYMOUS;EconomicOperands;1
ANONYMOUSLY;EconomicOperands;3
ANSWER;EconomicOperands;6
ANSWER QUESTIONS;EconomicOperands;1
ANSWERED;EconomicOperands;2
ANSWERING;EconomicOperands;1
ANSWERS;EconomicOperands;10
ANTICIPATE;EconomicOperands;1
ANTICIPATED;EconomicOperands;1
ANTICIPATES INCURRING;EconomicOperands;1
ANTICIPATES OWNING;EconomicOperands;1
ANTICIPATES PROVIDING;EconomicOperands;1
ANTI-DEFICIENCY;EconomicOperands;2
ANTI-DEFICIENCY LAW;EconomicOperands;6
ANTIDISRUPTIVE;EconomicOperands;1
ANTIEVASION;EconomicOperands;1
ANTIFRAUD;EconomicOperands;8
ANTIMANIPULATION;EconomicOperands;1
ANTI-MANIPULATION;EconomicOperands;1
ANTI-MONEY LAUNDERING;EconomicOperands;2
ANTITRUST;EconomicOperands;10
ANTITRUST LAWS;EconomicOperands;4
APPARENT;EconomicOperands;4
APPEAL;EconomicOperands;51
APPEALED;EconomicOperands;2
APPEALS;EconomicOperands;8
APPEAR;EconomicOperands;19
APPEARANCE;EconomicOperands;2
APPEARANCES;EconomicOperands;4
APPEARING;EconomicOperands;3
APPENDIX;EconomicOperands;1
APPLICABLE INDIVIDUAL;EconomicOperands;8
APPLICANT;EconomicOperands;34
APPLICANTS;EconomicOperands;15
APPLICATION;EconomicOperands;110
APPLICATIONS;EconomicOperands;8
APPLIED;EconomicOperands;39
APPLYING;EconomicOperands;9
APPOINT;EconomicOperands;22
APPOINTED;EconomicOperands;105
APPOINTEES;EconomicOperands;1
APPOINTING;EconomicOperands;5
APPOINTMENT;EconomicOperands;98
APPOINTMENTS;EconomicOperands;2
APPORTIONMENT;EconomicOperands;8
APPRAISAL;EconomicOperands;108
APPRAISAL FOUNDATION;EconomicOperands;3
APPRAISAL MANAGEMENT COMPANY;EconomicOperands;28
APPRAISAL SUBCOMMITTEE;EconomicOperands;40
APPRAISAL SUBCOMMITTEE OF FFIEC;EconomicOperands;1
APPRAISALS;EconomicOperands;16
APPRAISED;EconomicOperands;7
APPRAISER;EconomicOperands;51
APPRAISERS;EconomicOperands;23
APPRECIATION;EconomicOperands;2
APPROACH;EconomicOperands;3
APPROACHED;EconomicOperands;1
APPROACHES;EconomicOperands;8
APPROPRIATE CONGRESSIONAL COMMITTEES;EconomicOperands;9
APPROPRIATE FEDERAL BANKING AGENCY;EconomicOperands;168
APPROPRIATE FEDERAL REGULATOR;EconomicOperands;7
APPROPRIATE FINANCIAL REGULATOR;EconomicOperands;26
APPROPRIATED;EconomicOperands;31
APPROPRIATED MONEYS;EconomicOperands;1
APPROPRIATENESS;EconomicOperands;5
APPROPRIATION;EconomicOperands;12
APPROPRIATIONS;EconomicOperands;27
APPROVED;EconomicOperands;37
ARBITRAGE;EconomicOperands;2
ARBITRARY;EconomicOperands;6
ARBITRATE;EconomicOperands;2
ARBITRATION;EconomicOperands;20
ARCHIVIST OF THE UNITED STATES;EconomicOperands;1
AREA;EconomicOperands;27
AREAS;EconomicOperands;37
ARENA;EconomicOperands;1
ARGUMENTS;EconomicOperands;1
ARISE;EconomicOperands;16
ARISEN;EconomicOperands;2
ARISES;EconomicOperands;12
ARISING;EconomicOperands;65
ARM;EconomicOperands;1
ARMED;EconomicOperands;1
ARMED GROUP;EconomicOperands;14
ARRA;EconomicOperands;2
ARRANGE;EconomicOperands;2
ARRANGED;EconomicOperands;4
ARRANGEMENT;EconomicOperands;22
ARRANGEMENTS;EconomicOperands;26
ARRANGERS;EconomicOperands;1
ARTIFICE;EconomicOperands;4
ASCERTAIN;EconomicOperands;1
ASCERTAINED;EconomicOperands;3
ASCERTAINING;EconomicOperands;1
ASCRIBE;EconomicOperands;1
ASIA;EconomicOperands;4
ASK;EconomicOperands;2
ASKED;EconomicOperands;2
ASKING;EconomicOperands;1
ASPECTS;EconomicOperands;3
ASSASSINATION;EconomicOperands;1
ASSEMBLE;EconomicOperands;1
ASSEMBLED;EconomicOperands;3
ASSERT;EconomicOperands;6
ASSERTION;EconomicOperands;2
ASSERTS;EconomicOperands;1
ASSESS;EconomicOperands;20
ASSESSED;EconomicOperands;16
ASSESSES;EconomicOperands;1
ASSESSING;EconomicOperands;21
ASSESSMENT;EconomicOperands;59
ASSESSMENT BASE;EconomicOperands;7
ASSESSMENTS;EconomicOperands;53
ASSET;EconomicOperands;57
ASSET BACKED SECURITY;EconomicOperands;1
ASSET-BACKED;EconomicOperands;1
ASSET-BACKED COMMERCIAL PAPER MONEY MARKET MUTUAL FUND LIQUIDITY FACILITY;EconomicOperands;2
ASSET-BACKED SECURITIES;EconomicOperands;20
ASSET-BACKED SECURITIZATION;EconomicOperands;2
ASSET-BACKED SECURITY;EconomicOperands;33
ASSET-LEVEL;EconomicOperands;1
ASSETS;EconomicOperands;225
ASSIGN;EconomicOperands;3
ASSIGNABLE;EconomicOperands;1
ASSIGNED TO;EconomicOperands;5
ASSIGNEE;EconomicOperands;11
ASSIGNING;EconomicOperands;2
ASSIGNMENT;EconomicOperands;19
ASSIGNMENTS;EconomicOperands;7
ASSIGNS;EconomicOperands;2
ASSIST;EconomicOperands;23
ASSISTANCE;EconomicOperands;107
ASSISTANT;EconomicOperands;4
ASSISTANT SECRETARY;EconomicOperands;2
ASSISTED;EconomicOperands;2
ASSISTING;EconomicOperands;7
ASSISTS;EconomicOperands;2
ASSOCIATE;EconomicOperands;1
ASSOCIATE IN RISK MANAGEMENT;EconomicOperands;1
ASSOCIATED;EconomicOperands;45
ASSOCIATED PERSON OF A SECURITIES HOLDING COMPANY;EconomicOperands;1
ASSOCIATED PERSON OF A SECURITY-BASED SWAP DEALER OR MAJOR SECURITY-BASED SWAP PARTICIPANT;EconomicOperands;5
ASSOCIATED PERSON OF A SWAP DEALER OR MAJOR SWAP PARTICIPANT;EconomicOperands;5
ASSOCIATES;EconomicOperands;1
ASSOCIATION;EconomicOperands;70
ASSOCIATIONS;EconomicOperands;32
ASSUME;EconomicOperands;8
ASSUMING;EconomicOperands;4
ASSUMPTION;EconomicOperands;8
ASSUMPTIONS;EconomicOperands;8
ASSURANCE;EconomicOperands;1
ASSURANCES;EconomicOperands;6
ASSURE;EconomicOperands;8
ASSURED;EconomicOperands;1
ASSURING;EconomicOperands;9
AT-RISK;EconomicOperands;1
ATTACHED;EconomicOperands;1
ATTAINED;EconomicOperands;2
ATTEMPT;EconomicOperands;7
ATTEMPTED;EconomicOperands;3
ATTEMPTED MANIPULATION;EconomicOperands;1
ATTEMPTS;EconomicOperands;3
ATTEND;EconomicOperands;1
ATTENDANCE;EconomicOperands;10
ATTENDANT;EconomicOperands;1
ATTENDING;EconomicOperands;1
ATTENTION;EconomicOperands;4
